,target_path,left_path,right_path,left_correct,block_type,target_name,rotated,symmetrical,hi_difficulty,open
0,stimuli_left/targets/C4.png,stimuli_left/contexts/test/054b.png,stimuli_left/contexts/test/054a.png,False,test,C4,False,True,False,True
1,stimuli_left/targets/C1_rotated.png,stimuli_left/contexts/test/006a_rotated.png,stimuli_left/contexts/test/006b_rotated.png,True,test,C1,True,True,False,True
2,stimuli_left/targets/D4.png,stimuli_left/contexts/test/051b_novel.png,stimuli_left/contexts/test/051a_novel.png,False,test,D4,False,False,True,True
3,stimuli_left/targets/A3.png,stimuli_left/contexts/test/047b_novel.png,stimuli_left/contexts/test/047a_novel.png,False,test,A3,False,True,True,False
5,stimuli_left/targets/D2.png,stimuli_left/contexts/control/018a_novel.png,stimuli_left/contexts/control/018b_novel.png,True,control,D2,False,False,False,True
6,stimuli_left/targets/D1_rotated.png,stimuli_left/contexts/control/002b_rotated.png,stimuli_left/contexts/control/002a_rotated.png,False,control,D1,True,False,False,True
7,stimuli_left/targets/A2.png,stimuli_left/contexts/control/030b.png,stimuli_left/contexts/control/030a.png,False,control,A2,False,True,False,False
8,stimuli_left/targets/D3.png,stimuli_left/contexts/control/035b_novel.png,stimuli_left/contexts/control/035a_novel.png,False,control,D3,False,False,True,True
9,stimuli_left/targets/C4.png,stimuli_left/contexts/control/055a.png,stimuli_left/contexts/control/055b.png,True,control,C4,False,True,True,True
10,stimuli_left/targets/D2_rotated.png,stimuli_left/contexts/control/019a_rotated.png,stimuli_left/contexts/control/019b_rotated.png,True,control,D2,True,False,True,True
11,stimuli_left/targets/B4_rotated.png,stimuli_left/contexts/control/058b_novel_rotated.png,stimuli_left/contexts/control/058a_novel_rotated.png,False,control,B4,True,False,False,False
12,stimuli_left/targets/B3.png,stimuli_left/contexts/control/042b_novel.png,stimuli_left/contexts/control/042a_novel.png,False,control,B3,False,False,False,False
14,stimuli_left/targets/A1.png,stimuli_left/contexts/control/015a_novel.png,stimuli_left/contexts/control/015b_novel.png,True,control,A1,False,True,True,False
15,stimuli_left/targets/C3.png,stimuli_left/contexts/control/039b.png,stimuli_left/contexts/control/039a.png,False,control,C3,False,True,True,True
16,stimuli_left/targets/D4_rotated.png,stimuli_left/contexts/control/051a_novel_rotated.png,stimuli_left/contexts/control/051b_novel_rotated.png,True,control,D4,True,False,True,True
17,stimuli_left/targets/C2.png,stimuli_left/contexts/control/022a.png,stimuli_left/contexts/control/022b.png,True,control,C2,False,True,False,True
18,stimuli_left/targets/B4.png,stimuli_left/contexts/control/058a.png,stimuli_left/contexts/control/058b.png,True,control,B4,False,False,False,False
19,stimuli_left/targets/C4.png,stimuli_left/contexts/control/054b_novel.png,stimuli_left/contexts/control/054a_novel.png,False,control,C4,False,True,False,True
20,stimuli_left/targets/B1_rotated.png,stimuli_left/contexts/control/011b_rotated.png,stimuli_left/contexts/control/011a_rotated.png,False,control,B1,True,False,True,False
21,stimuli_left/targets/C3.png,stimuli_left/contexts/control/038a_novel.png,stimuli_left/contexts/control/038b_novel.png,True,control,C3,False,True,False,True
22,stimuli_left/targets/A2.png,stimuli_left/contexts/test/030b_novel.png,stimuli_left/contexts/test/030a_novel.png,False,test,A2,False,True,False,False
23,stimuli_left/targets/C3.png,stimuli_left/contexts/test/039b_novel.png,stimuli_left/contexts/test/039a_novel.png,False,test,C3,False,True,True,True
24,stimuli_left/targets/D1_rotated.png,stimuli_left/contexts/test/003a_rotated.png,stimuli_left/contexts/test/003b_rotated.png,True,test,D1,True,False,True,True
25,stimuli_left/targets/A3.png,stimuli_left/contexts/test/046b.png,stimuli_left/contexts/test/046a.png,False,test,A3,False,True,False,False
26,stimuli_left/targets/A2.png,stimuli_left/contexts/control/031a_novel.png,stimuli_left/contexts/control/031b_novel.png,True,control,A2,False,True,True,False
27,stimuli_left/targets/B4.png,stimuli_left/contexts/control/059a_novel.png,stimuli_left/contexts/control/059b_novel.png,True,control,B4,False,False,True,False
28,stimuli_left/targets/C2_rotated.png,stimuli_left/contexts/control/023b_rotated.png,stimuli_left/contexts/control/023a_rotated.png,False,control,C2,True,True,True,True
29,stimuli_left/targets/C1.png,stimuli_left/contexts/control/006a_novel.png,stimuli_left/contexts/control/006b_novel.png,True,control,C1,False,True,False,True
30,stimuli_left/targets/A1.png,stimuli_left/contexts/control/014b_novel.png,stimuli_left/contexts/control/014a_novel.png,False,control,A1,False,True,False,False
31,stimuli_left/targets/D4.png,stimuli_left/contexts/control/051a.png,stimuli_left/contexts/control/051b.png,True,control,D4,False,False,True,True
32,stimuli_left/targets/B2_rotated.png,stimuli_left/contexts/control/026b_rotated.png,stimuli_left/contexts/control/026a_rotated.png,False,control,B2,True,False,False,False
33,stimuli_left/targets/A3.png,stimuli_left/contexts/control/046a_novel.png,stimuli_left/contexts/control/046b_novel.png,True,control,A3,False,True,False,False
35,stimuli_left/targets/A2.png,stimuli_left/contexts/test/031b.png,stimuli_left/contexts/test/031a.png,False,test,A2,False,True,True,False
36,stimuli_left/targets/D4.png,stimuli_left/contexts/test/050a.png,stimuli_left/contexts/test/050b.png,True,test,D4,False,False,False,True
37,stimuli_left/targets/D3_rotated.png,stimuli_left/contexts/test/034b_rotated.png,stimuli_left/contexts/test/034a_rotated.png,False,test,D3,True,False,False,True
38,stimuli_left/targets/C1.png,stimuli_left/contexts/test/007a.png,stimuli_left/contexts/test/007b.png,True,test,C1,False,True,True,True
39,stimuli_left/targets/B4.png,stimuli_left/contexts/test/059b.png,stimuli_left/contexts/test/059a.png,False,test,B4,False,False,True,False
40,stimuli_left/targets/A4.png,stimuli_left/contexts/test/063a.png,stimuli_left/contexts/test/063b.png,True,test,A4,False,True,True,False
41,stimuli_left/targets/D2_rotated.png,stimuli_left/contexts/test/018b_rotated.png,stimuli_left/contexts/test/018a_rotated.png,False,test,D2,True,False,False,True
42,stimuli_left/targets/B1.png,stimuli_left/contexts/test/010b_novel.png,stimuli_left/contexts/test/010a_novel.png,False,test,B1,False,False,False,False
44,stimuli_left/targets/B3.png,stimuli_left/contexts/control/043a_novel.png,stimuli_left/contexts/control/043b_novel.png,True,control,B3,False,False,True,False
45,stimuli_left/targets/A3_rotated.png,stimuli_left/contexts/control/047b_novel_rotated.png,stimuli_left/contexts/control/047a_novel_rotated.png,False,control,A3,True,True,True,False
46,stimuli_left/targets/D1.png,stimuli_left/contexts/control/003a.png,stimuli_left/contexts/control/003b.png,True,control,D1,False,False,True,True
47,stimuli_left/targets/C2_rotated.png,stimuli_left/contexts/control/022a_novel_rotated.png,stimuli_left/contexts/control/022b_novel_rotated.png,True,control,C2,True,True,False,True
48,stimuli_left/targets/C4_rotated.png,stimuli_left/contexts/control/054b_rotated.png,stimuli_left/contexts/control/054a_rotated.png,False,control,C4,True,True,False,True
49,stimuli_left/targets/A4.png,stimuli_left/contexts/control/062a.png,stimuli_left/contexts/control/062b.png,True,control,A4,False,True,False,False
50,stimuli_left/targets/B2.png,stimuli_left/contexts/control/027a.png,stimuli_left/contexts/control/027b.png,True,control,B2,False,False,True,False
51,stimuli_left/targets/C3_rotated.png,stimuli_left/contexts/control/039b_novel_rotated.png,stimuli_left/contexts/control/039a_novel_rotated.png,False,control,C3,True,True,True,True
53,stimuli_left/targets/A1_rotated.png,stimuli_left/contexts/test/015a_rotated.png,stimuli_left/contexts/test/015b_rotated.png,True,test,A1,True,True,True,False
54,stimuli_left/targets/D1.png,stimuli_left/contexts/test/002a.png,stimuli_left/contexts/test/002b.png,True,test,D1,False,False,False,True
55,stimuli_left/targets/D2.png,stimuli_left/contexts/test/019b.png,stimuli_left/contexts/test/019a.png,False,test,D2,False,False,True,True
56,stimuli_left/targets/C2.png,stimuli_left/contexts/test/023a.png,stimuli_left/contexts/test/023b.png,True,test,C2,False,True,True,True
57,stimuli_left/targets/B1_rotated.png,stimuli_left/contexts/control/010b_novel_rotated.png,stimuli_left/contexts/control/010a_novel_rotated.png,False,control,B1,True,False,False,False
58,stimuli_left/targets/A3.png,stimuli_left/contexts/control/047a.png,stimuli_left/contexts/control/047b.png,True,control,A3,False,True,True,False
59,stimuli_left/targets/B1.png,stimuli_left/contexts/control/010b.png,stimuli_left/contexts/control/010a.png,False,control,B1,False,False,False,False
60,stimuli_left/targets/D3.png,stimuli_left/contexts/control/034b_novel.png,stimuli_left/contexts/control/034a_novel.png,False,control,D3,False,False,False,True
61,stimuli_left/targets/A2_rotated.png,stimuli_left/contexts/control/031a_rotated.png,stimuli_left/contexts/control/031b_rotated.png,True,control,A2,True,True,True,False
62,stimuli_left/targets/A4_rotated.png,stimuli_left/contexts/control/063a_rotated.png,stimuli_left/contexts/control/063b_rotated.png,True,control,A4,True,True,True,False
63,stimuli_left/targets/B2.png,stimuli_left/contexts/control/026a_novel.png,stimuli_left/contexts/control/026b_novel.png,True,control,B2,False,False,False,False
64,stimuli_left/targets/C1_rotated.png,stimuli_left/contexts/control/007b_rotated.png,stimuli_left/contexts/control/007a_rotated.png,False,control,C1,True,True,True,True
65,stimuli_left/targets/B2.png,stimuli_left/contexts/test/027b_novel.png,stimuli_left/contexts/test/027a_novel.png,False,test,B2,False,False,True,False
66,stimuli_left/targets/D3.png,stimuli_left/contexts/test/035a.png,stimuli_left/contexts/test/035b.png,True,test,D3,False,False,True,True
67,stimuli_left/targets/B4.png,stimuli_left/contexts/test/058b_novel.png,stimuli_left/contexts/test/058a_novel.png,False,test,B4,False,False,False,False
68,stimuli_left/targets/A4_rotated.png,stimuli_left/contexts/test/062a_rotated.png,stimuli_left/contexts/test/062b_rotated.png,True,test,A4,True,True,False,False
70,stimuli_left/targets/B3_rotated.png,stimuli_left/contexts/control/042b_rotated.png,stimuli_left/contexts/control/042a_rotated.png,False,control,B3,True,False,False,False
71,stimuli_left/targets/D3_rotated.png,stimuli_left/contexts/control/035b_rotated.png,stimuli_left/contexts/control/035a_rotated.png,False,control,D3,True,False,True,True
72,stimuli_left/targets/D1.png,stimuli_left/contexts/control/002a_novel.png,stimuli_left/contexts/control/002b_novel.png,True,control,D1,False,False,False,True
73,stimuli_left/targets/C3_rotated.png,stimuli_left/contexts/control/038b_rotated.png,stimuli_left/contexts/control/038a_rotated.png,False,control,C3,True,True,False,True
74,stimuli_left/targets/A1.png,stimuli_left/contexts/control/015a.png,stimuli_left/contexts/control/015b.png,True,control,A1,False,True,True,False
75,stimuli_left/targets/C2.png,stimuli_left/contexts/control/023a_novel.png,stimuli_left/contexts/control/023b_novel.png,True,control,C2,False,True,True,True
76,stimuli_left/targets/B4_rotated.png,stimuli_left/contexts/control/059a_rotated.png,stimuli_left/contexts/control/059b_rotated.png,True,control,B4,True,False,True,False
77,stimuli_left/targets/A2_rotated.png,stimuli_left/contexts/control/030b_novel_rotated.png,stimuli_left/contexts/control/030a_novel_rotated.png,False,control,A2,True,True,False,False
78,stimuli_left/targets/D3.png,stimuli_left/contexts/control/034a.png,stimuli_left/contexts/control/034b.png,True,control,D3,False,False,False,True
79,stimuli_left/targets/D1.png,stimuli_left/contexts/control/003b_novel.png,stimuli_left/contexts/control/003a_novel.png,False,control,D1,False,False,True,True
80,stimuli_left/targets/D4.png,stimuli_left/contexts/control/050b_novel.png,stimuli_left/contexts/control/050a_novel.png,False,control,D4,False,False,False,True
81,stimuli_left/targets/A1_rotated.png,stimuli_left/contexts/control/014a_rotated.png,stimuli_left/contexts/control/014b_rotated.png,True,control,A1,True,True,False,False
82,stimuli_left/targets/D2.png,stimuli_left/contexts/control/019b_novel.png,stimuli_left/contexts/control/019a_novel.png,False,control,D2,False,False,True,True
83,stimuli_left/targets/B2_rotated.png,stimuli_left/contexts/control/027b_novel_rotated.png,stimuli_left/contexts/control/027a_novel_rotated.png,False,control,B2,True,False,True,False
84,stimuli_left/targets/A4.png,stimuli_left/contexts/control/062a_novel.png,stimuli_left/contexts/control/062b_novel.png,True,control,A4,False,True,False,False
85,stimuli_left/targets/C1.png,stimuli_left/contexts/control/006b.png,stimuli_left/contexts/control/006a.png,False,control,C1,False,True,False,True
87,stimuli_left/targets/C3.png,stimuli_left/contexts/test/038b.png,stimuli_left/contexts/test/038a.png,False,test,C3,False,True,False,True
88,stimuli_left/targets/B3_rotated.png,stimuli_left/contexts/test/043a_rotated.png,stimuli_left/contexts/test/043b_rotated.png,True,test,B3,True,False,True,False
89,stimuli_left/targets/B2.png,stimuli_left/contexts/test/026b.png,stimuli_left/contexts/test/026a.png,False,test,B2,False,False,False,False
90,stimuli_left/targets/B3.png,stimuli_left/contexts/test/042b.png,stimuli_left/contexts/test/042a.png,False,test,B3,False,False,False,False
92,stimuli_left/targets/C2.png,stimuli_left/contexts/test/022b_novel.png,stimuli_left/contexts/test/022a_novel.png,False,test,C2,False,True,False,True
93,stimuli_left/targets/C4_rotated.png,stimuli_left/contexts/test/055a_rotated.png,stimuli_left/contexts/test/055b_rotated.png,True,test,C4,True,True,True,True
94,stimuli_left/targets/A1.png,stimuli_left/contexts/test/014a.png,stimuli_left/contexts/test/014b.png,True,test,A1,False,True,False,False
95,stimuli_left/targets/B1.png,stimuli_left/contexts/test/011b.png,stimuli_left/contexts/test/011a.png,False,test,B1,False,False,True,False
96,stimuli_left/targets/D4_rotated.png,stimuli_left/contexts/control/050b_rotated.png,stimuli_left/contexts/control/050a_rotated.png,False,control,D4,True,False,False,True
97,stimuli_left/targets/B3.png,stimuli_left/contexts/control/043a.png,stimuli_left/contexts/control/043b.png,True,control,B3,False,False,True,False
98,stimuli_left/targets/A4.png,stimuli_left/contexts/control/063a_novel.png,stimuli_left/contexts/control/063b_novel.png,True,control,A4,False,True,True,False
99,stimuli_left/targets/C4.png,stimuli_left/contexts/control/055a_novel.png,stimuli_left/contexts/control/055b_novel.png,True,control,C4,False,True,True,True
100,stimuli_left/targets/A3_rotated.png,stimuli_left/contexts/control/046b_rotated.png,stimuli_left/contexts/control/046a_rotated.png,False,control,A3,True,True,False,False
101,stimuli_left/targets/D2.png,stimuli_left/contexts/control/018a.png,stimuli_left/contexts/control/018b.png,True,control,D2,False,False,False,True
102,stimuli_left/targets/B1.png,stimuli_left/contexts/control/011a_novel.png,stimuli_left/contexts/control/011b_novel.png,True,control,B1,False,False,True,False
103,stimuli_left/targets/C1.png,stimuli_left/contexts/control/007a_novel.png,stimuli_left/contexts/control/007b_novel.png,True,control,C1,False,True,True,True
